AMOUNT_REQ,prefix_1,lifecycle:transition_1,org:resource_1,start:timestamp_1,time:timestamp_1,prefix_2,lifecycle:transition_2,org:resource_2,start:timestamp_2,time:timestamp_2,prefix_3,lifecycle:transition_3,org:resource_3,start:timestamp_3,time:timestamp_3,label,trace_id
4000.00001757,W_Afhandelen leads,complete,10939.0,1317490600.8811097,1317490723.7210405,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,0
5999.999975350001,W_Afhandelen leads,complete,10939.0,1317484451.8455794,1317484496.3168612,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,1
3000.00003868,W_Afhandelen leads,complete,10939.0,1317900233.81615,1317900361.1540456,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,2
4000.00001757,W_Afhandelen leads,complete,11001.0,1317663925.7421813,1317663974.4264019,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,3
4000.00001757,W_Afhandelen leads,complete,11119.0,1317669397.5346165,1317669541.5537899,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,4
4999.999996460001,W_Afhandelen leads,complete,11001.0,1317647583.434456,1317647687.5111058,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,5
4999.999996460001,W_Afhandelen leads,complete,11001.0,1317662728.3226728,1317662860.7112715,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,6
3000.00003868,W_Afhandelen leads,complete,10939.0,1317486090.447361,1317900361.1540456,0,0,11009.0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,7
4999.999996460001,W_Afhandelen leads,complete,11169.0,1317647583.434456,1317813157.7464788,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,8
4999.999996460001,W_Afhandelen leads,complete,NOT_SET,1317731830.9482973,1317731931.3250542,0,0,0,1317469494.041,1317469498.974,0,0,0,1317469494.041,1317469616.631,true,9
9999.999890910001,W_Afhandelen leads,complete,11009.0,1320062567.142305,1320063332.6007469,W_Completeren aanvraag,complete,11201.0,1320241025.2656,1320241063.8636,W_Completeren aanvraag,complete,10909.0,1320305697.3788,1320324260.204,true,10
